address,Latitude,Longitude,count,paperID
"Indian Inst Space Sci & Technol, Dept Earth & Space Sci, Trivandrum 695574, Kerala, India",8.563337,77.1139984,1,A1722
"Univ Kassel, Organ Plant Prod & Agroecosyst Res Trop & Subtrop, D-37213 Witzenhausen, Germany",51.342462,9.8549196,2,A1722
"CSIR, Cent Inst Min & Fuel Res, Environm Management Div, Dhanbad 828108, Bihar, India",23.7173367,86.47438,5,A2665
"Inst Engn & Technol, Dept Civil Engn, Lucknow 226001, UP, India",26.8537051,80.9484195,2,A2665
"Bidhan Chandra Krishi Viswavidyalaya, Kalyani 741235, W Bengal, India",22.9452453,88.5335715,4,A1491
"ISRO, Natl Remote Sensing Ctr, Hyderabad 500037, Andhra Pradesh, India",15.9128998,79.7399875,3,A2101
NA,,,1,A2935
"Pondicherry Univ, Dept Ecol & Environm Sci, Pondicherry 605014, India",12.0182619,79.8568461,2,A1490
NA,,,2,A3294
"Jawaharlal Nehru Univ, Sch Environm Sci, New Delhi 110067, India",28.5398035,77.1664047,6,A0079
NA,,,1,A3077
"Post Grad Inst Med Educ & Res, Sch Publ Hlth, Sect 12, Chandigarh 160012, India",30.7667459,76.7773869,6,A1317
NA,,,1,A3247
NA,,,NA,B0030
"Dow Univ Hlth Sci, Dow Int Med Coll, Dept Pathol Mol Pathol, Karachi, Pakistan",24.9463692,67.1405867,1,A1722
"Dow Univ Hlth Sci, Dow Diagnost Res & Reference Labs Mol Pathol, Karachi, Pakistan",24.8895827,67.065573,1,A1722
"Dow Univ Hlth Sci, Dow Int Med Coll, Dept Pathol, Karachi, Pakistan",24.9463692,67.1405867,2,A1722
"Liaquat Univ Med & Hlth Sci, Dept Pathol, Jamshoro, Pakistan",25.4351547,68.2701863,1,A1722
NA,,,NA,C0141
NA,,,NA,A3304
NA,,,NA,C0001
"Kerala Agr Univ, Acad Climate Change Educ & Res, Trichur 680656, Kerala, India",10.5507081,76.2739795,2,A1722
"Kerala Agr Univ, Coll Forestry, Dept Silviculture & Agroforestry, Trichur 680656, Kerala, India",10.5507081,76.2739795,2,A1722
"Kerala Agr Univ, Coll Hort, Dept Soil Sci & Agr Chem, Trichur 680656, Kerala, India",10.5448532,76.2863548,1,A1722
"Kerala Agr Univ, Coll Hort, Instruct Farm, Trichur 680656, Kerala, India",10.5448532,76.2863548,1,A1722
"Wildlife Inst India, Dehra Dun, Uttarakhand, India",30.2834983,77.9735518,4,A3010
"Chinese Acad Sci, State Key Lab Genet Resources & Evolut, Kunming Inst Zool, Kunming, Yunnan, Peoples R China",25.0674712,102.7048115,3,A3010
