cor.locs,Latitude,Longitude,cor.locs2
"Govt India, Dept Space, Indian Space Res Org, IIRS, 4 Kalidas Rd, Dehra Dun 248001, Uttarakhand, India.",30.3407597,78.0440265,"Govt India, Dept Space, Indian Space Res Org, IIRS, 4 Kalidas Rd, Dehra Dun 248001, Uttarakhand, India"
"Indira Gandhi Natl Tribal Univ, Dept Environm Sci, Amarkantak 484887, India.",22.6822292,81.7532219,"Indira Gandhi Natl Tribal Univ, Dept Environm Sci, Amarkantak 484887, India"
"UMR EcoFoG, Campus Agron, Kourou 97310, French Guiana.",5.1733184,-52.6537432,"UMR EcoFoG, Campus Agron, Kourou 97310, French Guiana"
"Rajiv Gandhi Univ, Dept Bot, Ctr Potential Excellence Biodivers, Higher Plant Div & Validat Unit, Rono Hills, Doimukh 791112, Arunachal Prade, India.",27.1518218,93.7551208,"Rajiv Gandhi Univ, Dept Bot, Ctr Potential Excellence Biodivers, Higher Plant Div & Validat Unit, Rono Hills, Doimukh 791112, Arunachal Prade, India"
"Wageningen Univ, Forest & Nat Conservat Policy Grp, NL-6700 AP Wageningen, Netherlands.",51.9812239,5.6584157,"Wageningen Univ, Forest & Nat Conservat Policy Grp, NL-6700 AP Wageningen, Netherlands"
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
"Cent Univ Rajasthan, Sch Earth Sci, Dept Environm Sci, Remote Sensing & GIS Lab, NH-8, Ajmer 305817, Rajasthan, India.",26.7451371,75.3538913,"Cent Univ Rajasthan, Sch Earth Sci, Dept Environm Sci, Remote Sensing & GIS Lab, NH-8, Ajmer 305817, Rajasthan, India"
"Forest Res Inst, Forest Bot & Tree Improvement Sect, Yezin 05282, Nay Pyi Taw, Myanmar.",19.8436632,96.2788572,"Forest Res Inst, Forest Bot & Tree Improvement Sect, Yezin 05282, Nay Pyi Taw, Myanmar"
"China Univ Min & Technol, Coll Geosci & Survey Engn, Beijing 100083, Peoples R China.",39.9911599,116.3534999,"China Univ Min & Technol, Coll Geosci & Survey Engn, Beijing 100083, Peoples R China"
"CSIR Indian Inst Toxicol Res, Div Environm Chem, Post Box 80,Mahatma Gandhi Marg, Lucknow 226001, Uttar Pradesh, India.",26.8516824,80.9386863,"CSIR Indian Inst Toxicol Res, Div Environm Chem, Post Box 80,Mahatma Gandhi Marg, Lucknow 226001, Uttar Pradesh, India"
"Abasaheb Garware Coll, Dept Zool, Pune 4, Maharashtra, India.",18.5116964,73.8391238,"Abasaheb Garware Coll, Dept Zool, Pune 4, Maharashtra, India"
"Sri JCBM Coll, Sringeri 577139, Karnataka, India.",13.4235374,75.2592555,"Sri JCBM Coll, Sringeri 577139, Karnataka, India"
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
"ICAR Complex NEH Reg, Umiam 793103, Meghalaya, India.",25.6768054,91.9270246,"ICAR Complex NEH Reg, Umiam 793103, Meghalaya, India"
"Kisan PG Coll, Post Grad Dept Bot, Bahraich 271801, Uttar Pradesh, India.",27.56153,81.5871461,"Kisan PG Coll, Post Grad Dept Bot, Bahraich 271801, Uttar Pradesh, India"
"CSIR Cent Inst Min & Fuel Res, Environm Management Div, Digwadih Campus,PO FRI, Dhanbad 828108, Jharkhand, India.",23.7066203,86.4132148,"CSIR Cent Inst Min & Fuel Res, Environm Management Div, Digwadih Campus,PO FRI, Dhanbad 828108, Jharkhand, India"
NA,,,NA
