cor.locs,Latitude,Longitude
"Zool Survey India, Kolkata, W Bengal, India.",22.572646,88.363895
"Cent Inland Capture Fisheries Res Inst, Barakpur 743101, W Bengal, India.",22.7674278,88.3883455
"MITS Sch Biotechnol, Dept Biotechnol, Bhubaneswar 751024, Odisha, India.",20.3435449,85.8066629
NA,,
"Cent Res Inst Dryland Agr, Hyderabad 500059, Andhra Pradesh, India.",15.9128998,79.7399875
"Univ Delhi, Delhi Sch Econ, Dept Geog, Delhi 110007, India.",28.688279,77.214811
"ICMR Natl Inst Virol, Maximum Containment Facil, Sus Rd, Pune 411001, Maharashtra, India.",18.5454269,73.7777887
"Univ St Etienne, Lab BVpam, EA3061, 23 Rue Dr Paul Michelon, F-42000 St Etienne, France.",45.423379,4.4257127
NA,,
"Univ Int Business & Econ, UIBE Belt & Rd Energy Trade & Dev Ctr, Beijing 100029, Peoples R China.",39.977518,116.429591
"Univ Peradeniya, Postgrad Inst Sci, Peradeniya, Sri Lanka.",7.2586046,80.5965936
NA,,
NA,,
"Govt Vidarbha Inst Sci & Humanities, Dept Zool, Populat Biol Lab, Amravati, MS, India.",20.9452225,77.7646954
NA,,
"VIT Univ, Sch Biosci & Technol, Dept Biotechnol, Vellore 632014, Tamil Nadu, India.",12.9692232,79.1559336
"Bose Inst, Dept Microbiol, P-1-12,CIT Scheme 7-M, Kolkata 700054, W Bengal, India.",22.5862073,88.3935905
"Natl Remote Sensing Ctr, Remote Sensing Area, Forestry & Ecol Grp, Hyderabad, Andhra Pradesh, India.",17.385044,78.486671
"Indian Grassland & Fodder Res Inst, Div Crop Prod, Jhansi 284003, Uttar Pradesh, India.",25.5113086,78.5337261
"Tezpur Univ, Biomass Convers Lab, Dept Energy, Tezpur 784028, Assam, India.",26.6992778,92.8348947
"Univ Acores, Dept Ciencias Agr, P-9700042 Angra Do Heroismo, Acores, Portugal.",38.6588401,-27.2325286
"Ctr Dev Adv Comp, NSG IT Pk, Pune 411005, Maharashtra, India.",18.5116058,73.8498063
NA,,
"Ibn Tofail Univ, Fac Sci, Lab Bot Biotechnol & Plant Protect, BP 133, Kenitra, Morocco.",34.2460423,-6.5848731
NA,,
"Wildlife Inst India, Dehra Dun 248001, Uttarakhand, India.",30.2834983,77.9735518
"Cent Soil Salin Res Inst, AICRP Management Salt Affected Soils & Use Saline, Karnal 132001, Haryana, India.",29.6386837,77.0794705
