address,Latitude,Longitude,count,paperID
"Mizoram Univ, Dept Environm Sci, Tanhril 796004, Mizoram, India",23.7364942,92.6642456,1,A2665
"Indian Stat Inst, 203 Barrackpore Trunk Rd, Kolkata 700108, W Bengal, India",22.6491893,88.3763794,2,A1125
NA,,,NA,C0347
NA,,,NA,C0202
NA,,,1,A2971
NA,,,4,A3177
NA,,,NA,C0074
NA,,,NA,C0063
NA,,,3,A2965
NA,,,1,A2933
NA,,,1,A2839
NA,,,1,A2730
NA,,,NA,B0024
NA,,,NA,C0279
NA,,,1,A2906
NA,,,2,A3183
NA,,,NA,C0244
NA,,,1,A2974
NA,,,3,A2814
NA,,,NA,B0029
NA,,,NA,B0009
NA,,,NA,A3245
"Govt PG Coll, Dept Bot, Rudraprayag, Uttarakhand, India",30.3997424,79.0368696,1,A1722
"Sri Dev Suman Uttarakhand Univ Badsahithol, Tehri Garhwal, Uttarakhand, India",30.3370687,78.40273,2,A1722
"Chinese Acad Sci, Ctr Integrat Conservat, Xishuangbanna Trop Bot Garden, Mengla 666303, Yunnan, Peoples R China",21.9353099,101.24881,1,A1722
"Govt PG Coll, Rudraprayag, Uttarakhand, India",30.3997424,79.0368696,1,A1722
"Keystone Fdn, The Nilgiris 643217, Tamil Nadu, India",11.430735,76.859174,3,A1692
"Univ Reading, Ctr Agr Environm Res, Reading RG6 6AR, Berks, England",51.4551201,-0.9787475,1,A1692
NA,,,NA,C0146
NA,,,1,A2875
NA,,,NA,C0204
NA,,,NA,C0145
NA,,,NA,C0057
NA,,,NA,C0218
"Cochin Univ Sci & Technol, Sch Marine Sci, Dept Marine Biol Microbiol & Biochem, Cochin 682016, Kerala, India",9.966688,76.2870113,4,A1661
NA,,,NA,C0221
"Univ Sindh, Inst Biotechnol & Genet Engn, Jamshoro 76080, Pakistan",25.4303884,68.2808626,3,A2665
"Kocaeli Univ, Dept Biol Fac Sci & Literature, Kocaeli, Turkey",40.8221732,29.9216517,4,A2665
NA,,,NA,C0043
NA,,,1,A2419
NA,,,NA,C0386
"Birbal Sahni Inst Palaeosci, 53 Univ Rd, Lucknow, Uttar Pradesh, India",26.8671761,80.9392066,4,A1692
"Univ Nacl Colombia, Dept Ciencias Forestales, Sede Medellin, Medellin AA568, Colombia",6.2603934,-75.5771855,1,A1692
"Pondicherry Univ, Dept Disaster Management, Port Blair, India",11.6233774,92.7264828,1,A1692
"Ctr Cellular & Mol Biol, Hyderabad 500007, Andhra Pradesh, India",15.9128998,79.7399875,6,A2425
NA,,,NA,B0011
"North Eastern Hill Univ, Dept Environm Studies, Shillong 793022, Meghalaya, India",25.6120984,91.8977131,1,A2665
"North Eastern Hill Univ, Dept Basic Sci & Social Sci, Shillong 793022, Meghalaya, India",25.6091604,91.8971103,1,A2665
NA,,,1,A3204
NA,,,NA,C0213
NA,,,1,A2777
NA,,,NA,B0017
NA,,,NA,C0199
NA,,,1,A3100
NA,,,NA,C0171
NA,,,NA,A3345
NA,,,NA,C0249
NA,,,NA,C0285
NA,,,12,A2780
NA,,,NA,C0256
"Govt Arts Coll, Chennai, Tamil Nadu, India",13.0300493,80.2421383,3,A2665
"Tamil Nadu Forest Dept, Chennai, Tamil Nadu, India",13.0826802,80.2707184,1,A2665
"Salim Ali Ctr Ornithol & Nat Hist, Coimbatore, Tamil Nadu, India",11.0927309,76.7869297,2,A2665
"Govt India, Dept Sci & Technol, New Delhi, India",28.5382079,77.1894671,1,A2665
"Indian Grassland & Fodder Res Inst, Jhansi 284003, Uttar Pradesh, India",25.5113086,78.5337261,1,A2665
"ICAR Res Complex NEH Reg, Umiam, Meghalaya, India",25.6768054,91.9270246,4,A2665
