cor.locs,Latitude,Longitude,cor.locs2
"Free Univ Brussels, Mangrove Management Grp, Lab Analyt & Environm Chem, Pleinlaan 2, B-1050 Brussels, Belgium.",50.8216447,4.3949306,"Free Univ Brussels, Mangrove Management Grp, Lab Analyt & Environm Chem, Pleinlaan 2, B-1050 Brussels, Belgium"
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
"Potsdam Inst Climate Impact Res, D-14412 Potsdam, Germany.",52.3905689,13.0644729,"Potsdam Inst Climate Impact Res, D-14412 Potsdam, Germany"
"Univ Malakand, Dept Bot, Lab Plant Ecol, Chakdara 28800, Pakistan.",34.6665626,72.0290387,"Univ Malakand, Dept Bot, Lab Plant Ecol, Chakdara 28800, Pakistan"
"London Sch Econ & Polit Sci LSE, London, England.",51.5144388,-0.1164513,"London Sch Econ & Polit Sci LSE, London, England"
"Woldia Univ, Fac Hlth Sci, Dept Med Lab Sci, Woldia, Ethiopia.",11.8299019,39.6001842,"Woldia Univ, Fac Hlth Sci, Dept Med Lab Sci, Woldia, Ethiopia"
"Univ Costa Rica, Lab Biol Mol, Estn Expt Fabio Baudrit Moreno, Alajuela, Costa Rica.",10.0072853,-84.2659307,"Univ Costa Rica, Lab Biol Mol, Estn Expt Fabio Baudrit Moreno, Alajuela, Costa Rica"
"Univ Mysore, Institut Excellence, Biopsychol Lab, Mysuru, India.",12.3558876,76.6354054,"Univ Mysore, Institut Excellence, Biopsychol Lab, Mysuru, India"
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
"Univ New South Wales, Sch Optometry & Vis Sci, Sydney, NSW, Australia.",-33.8688197,151.2092955,"Univ New South Wales, Sch Optometry & Vis Sci, Sydney, NSW, Australia"
"GB PLANT INST HIMALAYAN ENVIRONM & DEV,SIKKIM UNIT,SIKKIM 737102,INDIA.",27.301881,88.6096575,"GB PLANT INST HIMALAYAN ENVIRONM & DEV,SIKKIM UNIT,SIKKIM 737102,INDIA"
"NE HILL UNIV, SCH LIFE SCI, DEPT BOT, SHILLONG 793022, MEGHALAYA, INDIA.",25.6116774,91.8992403,"NE HILL UNIV, SCH LIFE SCI, DEPT BOT, SHILLONG 793022, MEGHALAYA, INDIA"
"WILDLIFE INST INDIA,POB 18,DEHRA DUN 248001,INDIA.",30.2834983,77.9735518,"WILDLIFE INST INDIA,POB 18,DEHRA DUN 248001,INDIA"
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
"Manipal Univ, Manipal Inst Technol, Dept Civil Engn, Manipal 576104, Karnataka, India.",13.3525321,74.7928224,"Manipal Univ, Manipal Inst Technol, Dept Civil Engn, Manipal 576104, Karnataka, India"
NA,,,NA
