"","cor.locs","Latitude","Longitude","cor.locs2"
"529","Jadavpur Univ, Sch Oceanog Studies, Kolkata 700032, India.",NA,NA,"Jadavpur Univ, Sch Oceanog Studies, Kolkata 700032, India"
"530","Shiv Nadar Univ, Sch Nat Sci, Environm Sci & Nat Resource Management, Dadri, Gautam Budh Nag, India.",NA,NA,"Shiv Nadar Univ, Sch Nat Sci, Environm Sci & Nat Resource Management, Dadri, Gautam Budh Nag, India"
"531","Indian Sch Mines, Indian Inst Technol, Dept Environm Sci & Engn, Dhanbad, Bihar, India.",NA,NA,"Indian Sch Mines, Indian Inst Technol, Dept Environm Sci & Engn, Dhanbad, Bihar, India"
"532",NA,NA,NA,NA
"534",NA,NA,NA,NA
"535",NA,NA,NA,NA
"542",NA,NA,NA,NA
"546",NA,NA,NA,NA
"550",NA,NA,NA,NA
"560","Bharathiar Univ, Dept Bot, Coimbatore 641046, Tamil Nadu, India.",NA,NA,"Bharathiar Univ, Dept Bot, Coimbatore 641046, Tamil Nadu, India"
"561","Govt India, Dept Space, NRSC ISRO, Reg Remote Sensing Ctr West, CAZRI Campus, Jodhpur 342003, Rajasthan, India.",NA,NA,"Govt India, Dept Space, NRSC ISRO, Reg Remote Sensing Ctr West, CAZRI Campus, Jodhpur 342003, Rajasthan, India"
"562",NA,NA,NA,NA
"563","Indian Agr Res Inst, Div Environm Sci, New Delhi 110012, India.",NA,NA,"Indian Agr Res Inst, Div Environm Sci, New Delhi 110012, India"
"564","Natl Environm Engn Res Inst, Environm Biotechnol Div, Nehru Marg, Nagpur 440020, Maharashtra, India.",NA,NA,"Natl Environm Engn Res Inst, Environm Biotechnol Div, Nehru Marg, Nagpur 440020, Maharashtra, India"
"565","UP Pandit Deen Dayal Upadhyaya Pashu Chikitsa Vig, Dept Parasitol, Coll Vet Sci & Anim Husb, Mathura 281001, India.",NA,NA,"UP Pandit Deen Dayal Upadhyaya Pashu Chikitsa Vig, Dept Parasitol, Coll Vet Sci & Anim Husb, Mathura 281001, India"
"566",NA,NA,NA,NA
