"cor.locs"
"Univ Sao Paulo, Lorena Sch Engn EEL, BR-05508050 Lorena, SP, Brazil."
"Kumaun Univ, Dept Bot, DSB Campus, Naini Tal 263002, India."
"Natl Bot Res Inst, Lucknow 226001, Uttar Pradesh, India."
"Dr Harisingh Gour Vishwavidyalaya Cent Univ, Dept Bot, Ecol Lab, Sagar 470003, Madhya Pradesh, India."
"CNRS MAEE, French Inst Pondicherry, UMIFRE 21, USR 3330, 11 St Louis St, Pondicherry 605001, India."
"Tezpur Univ, Dept Environm Sci, Tezpur 784028, Assam, India."
"Wildlife Inst India, Post Box 18, Dehra Dun 248001, Uttarakhand, India."
"Sethupathy Govt Arts Coll, Dept Zool, Ramanathapuram 623502, Tamil Nadu, India."
NA
"Madurai Kamaraj Univ, Sch Energy Environm & Nat Resources, Madurai 625021, Tamil Nadu, India."
"SASTRA Deemed Univ, Ctr Adv Res Environm, Sch Civil Engn, Thanjavur 613401, India."
"Leibniz Ctr Agr Landscape Res ZALF, Eberswalder Str 84, D-15374 Muncheberg, Germany."
NA
"CSIR, Cent Inst Min & Fuel Res, Environm Management Div, Digwadih Campus, Dhanbad 828108, Bihar, India."
"Bidhan Chandra Krishi Viswavidyalaya, Kalyani 741235, W Bengal, India."
"ISRO, Natl Remote Sensing Ctr, Hyderabad 500037, Andhra Pradesh, India."
"Natl DNA Anal Ctr, Cent Forens Sci Lab, 30 Gorachand Rd, Kolkata 700014, India."
"Pondicherry Univ, Dept Ecol & Environm Sci, Pondicherry 605014, India."
NA
"Jawaharlal Nehru Univ, Sch Environm Sci, New Delhi 110067, India."
"Univ Illinois, Dept Sci Biol, SES, M-C 066,845 W Taylor St, Chicago, IL 60607 USA."
"Post Grad Inst Med Educ & Res, Sch Publ Hlth, Sect 12, Chandigarh 160012, India."
NA
NA
"Dow Univ Hlth Sci, Dow Int Med Coll, Dept Pathol Mol Pathol, Karachi, Pakistan."
NA
"NATL ENVIRONM ENGN RES INST,NAGPUR 440020,MAHARASHTRA,INDIA."
NA
"Kerala Agr Univ, Acad Climate Change Educ & Res, Trichur 680656, Kerala, India."
"Zool Survey India, Kolkata, W Bengal, India."
"Cent Inland Capture Fisheries Res Inst, Barakpur 743101, W Bengal, India."
"MITS Sch Biotechnol, Dept Biotechnol, Bhubaneswar 751024, Odisha, India."
NA
"Cent Res Inst Dryland Agr, Hyderabad 500059, Andhra Pradesh, India."
"Univ Delhi, Delhi Sch Econ, Dept Geog, Delhi 110007, India."
"ICMR Natl Inst Virol, Maximum Containment Facil, Sus Rd, Pune 411001, Maharashtra, India."
"Univ St Etienne, Lab BVpam, EA3061, 23 Rue Dr Paul Michelon, F-42000 St Etienne, France."
NA
"Univ Int Business & Econ, UIBE Belt & Rd Energy Trade & Dev Ctr, Beijing 100029, Peoples R China."
"Univ Peradeniya, Postgrad Inst Sci, Peradeniya, Sri Lanka."
NA
NA
"Govt Vidarbha Inst Sci & Humanities, Dept Zool, Populat Biol Lab, Amravati, MS, India."
NA
"VIT Univ, Sch Biosci & Technol, Dept Biotechnol, Vellore 632014, Tamil Nadu, India."
"Bose Inst, Dept Microbiol, P-1-12,CIT Scheme 7-M, Kolkata 700054, W Bengal, India."
"Natl Remote Sensing Ctr, Remote Sensing Area, Forestry & Ecol Grp, Hyderabad, Andhra Pradesh, India."
"Indian Grassland & Fodder Res Inst, Div Crop Prod, Jhansi 284003, Uttar Pradesh, India."
"Tezpur Univ, Biomass Convers Lab, Dept Energy, Tezpur 784028, Assam, India."
"Univ Acores, Dept Ciencias Agr, P-9700042 Angra Do Heroismo, Acores, Portugal."
"Ctr Dev Adv Comp, NSG IT Pk, Pune 411005, Maharashtra, India."
NA
"Mizoram Univ, Dept Biotechnol, Mol Microbiol & Systemat Lab, Mizoram, India."
"Nature Conservancy, 1815 N Lynn St, Arlington, VA 22203 USA."
"Wildlife Inst India, Dehra Dun, Uttarakhand, India."
NA
"Ibn Tofail Univ, Fac Sci, Lab Bot Biotechnol & Plant Protect, BP 133, Kenitra, Morocco."
NA
"Wildlife Inst India, Dehra Dun 248001, Uttarakhand, India."
"Cent Soil Salin Res Inst, AICRP Management Salt Affected Soils & Use Saline, Karnal 132001, Haryana, India."
"Wildlife Inst India, POB 18, Dehra Dun 248001, Uttar Pradesh, India."
"ITC LSTC, Peenya Ind Area, 3 1st Main,Phase1, Bangalore 560058, Karnataka, India."
NA
NA
"Kuvempu Univ, Dept PG Studies & Res Environm Sci, Shivamogga 577451, Karnataka, India."
"Andhra Univ, Dept Bot, Visakhapatnam 530, Visakhapatnam 003, Andhra Pradesh, India."
"ICAR Natl Inst Abiot Stress Management, Baramati 413115, India."
"Alvas Coll, Post Grad Dept Biotechnol, Moodbidri 574227, Karnataka, India."
NA
NA
"Natl Bot Res Inst, CSIR, Mol Biol & Genet Lab, Rana Pratap Marg, Lucknow 226001, Uttar Pradesh, India."
"ICMR, Vector Control Res Ctr, Pondicherry 605006, India."
"Nat Hist Museum, Cromwell Rd, London SW7 5BD, England."
NA
"Natl Inst Technol Karnataka Surathkal, Sch Management, Mangalore 575025, Karnataka, India."
"Sardar Swaran Singh Natl Inst Renewable Energy, 12KM Stone,Jalandhar Kapurthala Rd, Kapurthala 144601, Punjab, India."
"Mizoram Univ, Pachhunga Univ Coll, Dept Zool, Aizawl 796001, Mizoram, India."
"Indian Stat Inst, 203 Barrackpore Trunk Rd, Kolkata 700108, W Bengal, India."
NA
NA
"Sai Nath Univ, Ranchi, Bihar, India."
"Univ Delhi, Ctr Environm Management Degraded Ecosyst, Sch Environm Studies, Delhi 110007, India."
"Chinese Acad Sci, Wuhan Bot Garden, Key Lab Aquat Bot & Watershed Ecol, Wuhan 430074, Peoples R China."
"Bidhan Chandra Krishi Viswavidyalaya, Dept Agr Meteorol & Phys, Mohanpur, India."
"Pondicherry Univ, Dept Ecol & Environm Sci, Pondicherry 605014, India."
"Natl Inst Technol Raipur, Dept Civil Engn, Raipur, Madhya Pradesh, India."
"Ohio State Univ, Ohio Agr Res & Dev Ctr, Columbus, OH 43210 USA."
"Amity Univ, Amity Inst Biotechnol, Sect 125, Noida 201303, Uttar Pradesh, India."
"Savitribai Phule Pune Univ Formerly Univ Pune, Bioinformat Ctr, Pune 411007, Maharashtra, India."
"Ashoka Trust Res Ecol & Environm, Bengaluru, India."
"IVRI, Izatnagar, Uttar Pradesh, India."
"Univ Massachusetts, Dept Biol, Boston, MA 02125 USA."
"Natl Res Ctr Agroforestry NRCAF, Gwalior Rd, Jhansi 284003, Uttar Pradesh, India."
NA
NA
"Shivaji Univ, Cytogenet & Plant Breeding Lab, Dept Bot, Kolhapur 416004, Maharashtra, India."
"Cent Univ Kerala, Kasaragod 671316, Kerala, India."
"Pondicherry Univ, Sch Life Sci, Dept Ecol & Environm Sci, EISML, Pondicherry 605014, India."
"Jawaharlal Nehru Trop Bot Garden & Res Inst, Div Conservat Biol, Karimancode PO Palode, Thiruvananthapuram 695562, Kerala, India."
"Maharshi Dayanand Univ, Med Microbiol & Bioproc Technol Lab, Dept Microbiol, Rohtak, Haryana, India."
"North Eastern Hill Univ, Dept Basic Sci & Social Sci, Sch Technol, Shillong 793022, Meghalaya, India."
"Ind Toxicol Res Ctr, Environm Chem Div, POB 80, Lucknow 226001, Uttar Pradesh, India."
"Seribiotech Res Lab, Carmelaram Post,CSB Campus, Bangalore 560035, Karnataka, India."
"Natl Bot Res Inst, Rana Pratap Marg, Lucknow 226001, Uttar Pradesh, India."
"Atom Minerals Directorate Explorat & Res, Hyderabad 500016, Andhra Pradesh, India."
"Islamiah Coll, Dept Biotechnol, Vaniyambadi 635752, Tamil Nadu, India."
"Dr Hari Singh Gour Vishwavidyalaya, Dept Bot, Forest Ecol & Ecogen Lab, Sagar 470003, Madhya Pradesh, India."
"Natl Univ Singapore, Dept Biol Sci, 14 Sci Dr 4, Singapore 117543, Singapore."
"Indian Inst Sci, Ctr Ecol Sci, Bangalore 560012, Karnataka, India."
"Poonch Forest Div, Indian Forest Serv, Forest Complex, Poonch 185101, Jammu & Kashmir, India."
"Qatar Fdn, Weill Cornell Med Coll Qatar, Box 24144, Educ City, Doha, Qatar."
NA
NA
"Amity Univ, Amity Coll Commerce & Finance, Noida, India."
"Shiv Nader Univ, Sch Nat Sci, Dept Math, PO Shiv Nader Univ, Gautam Buddha Nagar 201314, Uttar Pradesh, India."
"Indian Inst Soil Sci, Bhopal 462038, Madhya Pradesh, India."
"Tokyo Univ Agr & Technol, Inst Agr, 3-5-8 Saiwai Cho, Fuchu, Tokyo 1838509, Japan."
"Univ Aberdeen, IMMPACT, Sch Med & Dent, 2nd Floor,Hlth Sci Bldg,Foresterhill, Aberdeen AB25 2ZD, Scotland."
"Lala Lajpat Rai Univ Vet & Anim Sci, Coll Vet Sci, Dept Vet Parasitol, Hisar 125004, Haryana, India."
"So Reg Ctr, Energy & Resources Inst TERI, 4th Main,2nd Cross,Domlur 2nd Stage, Bangalore 560071, Karnataka, India."
"Banaras Hindu Univ, Dept Entomol & Agr Zool, Inst Agr Sci, Varanasi 221005, Uttar Pradesh, India."
"Univ Lyon 1, Lab Biometrie Genet & Biol Populat, CNRS, UMR 5558, 43 Bd 11 Novembre 1918, F-69622 Villeurbanne, France."
NA
"Senckenberg Res Inst, Grunelius Moellgaard Lab, Dept Bot & Mol Evolut, Senckenberganlage 25, D-60325 Frankfurt, Germany."
"Wildlife Inst India, Chandrabani Dehradun, Uttarakhand, India."
"Tezpur Univ, Dept Energy, Tezpur 784028, Assam, India."
"Univ St Andrews, Sch Biol, Div Environm & Evolutionary Biol, St Andrews KY16 9TH, Fife, Scotland."
"Haryana Agr Univ, Dept Forest, Hisar 125004, Haryana, India."
NA
NA
"UNIV HAWAII MANOA,DEPT ENTOMOL,CTR CONSERVAT RES & TRAINING,3050 MAILE WAY,GILMORE 310,HONOLULU,HI 96822, USA."
"Chinese Acad Sci, Ctr Integrat Conservat, Xishuangbanna Trop Bot Garden, Mengla 666303, Yunnan, Peoples R China."
"Keystone Fdn, The Nilgiris 643217, Tamil Nadu, India."
"Annamalai Univ, Ctr Adv Study Marine Biol, Fac Marine Sci, Parangipettai 608502, Tamil Nadu, India."
NA
"Manipur Univ, Dept Life Sci, Imphal 795003, Manipur, India."
NA
"Univ Estadual Maringa, Dept Chem Engn, Av Colombo 5790, BR-87020900 Maringa, Parana, Brazil."
"Univ Delhi, Sch Environm Studies, Ctr Environm Management Degraded Ecosyst, Delhi 110007, India."
NA
"Ramakrishna Mission Vidyapith, Vivekananda Inst Trop Mycol VINSTROM, Chennai 600004, Tamil Nadu, India."
NA
NA
"Pondicherry Univ, Dept Ecol & Environm Sci, Pondicherry 605014, India."
"Cochin Univ Sci & Technol, Sch Marine Sci, Dept Marine Biol Microbiol & Biochem, Cochin 682016, Kerala, India."
NA
"Univ Sindh, Inst Biotechnol & Genet Engn, Jamshoro 76080, Pakistan."
NA
"Michigan State Univ, Dept Plant Biol, E Lansing, MI 48824 USA."
NA
"Birbal Sahni Inst Palaeosci, Quaternary Div, 53 Univ Rd, Lucknow, Uttar Pradesh, India."
"Ctr Cellular & Mol Biol, Uppal Rd, Hyderabad 500007, Andhra Pradesh, India."
NA
"North Eastern Hill Univ, Dept Basic Sci & Social Sci, Shillong 793022, Meghalaya, India."
"Tamil Nadu Agr Univ, Forest Coll, Mettupalayam 641301, India."
NA
"Trop Forestry Res Inst, Genet & Plant Propagat Div, Post Office-RFRC,Mandla Rd, Jabalpur 482021, India."
NA
NA
"Cent Inst Fisheries Educ, Div Fish Genet & Biotechnol, Bombay 61, Maharashtra, India."
"Minist Environm Forest & Climate Change, Natl Ctr Sustainable Coastal Management, Chennai 600025, Tamil Nadu, India."
"Natl Remote Sensing Agcy, Dept Space Govt India, Atmospher Sci & Oceanog Grp, Atmospher Sci Sect, Hyderabad 500625, Andhra Pradesh, India."
"Inst Wood Sci & Technol, 18th Cross, Bangalore 560003, Karnataka, India."
"Natl Dairy Res Inst, ICAR, Karnal 132001, Haryana, India."
"CSIR, Cent Salt & Marine Chem Res Inst, Div Marine Biotechnol & Ecol, GB Marg, Gujarat 364002, India."
"Cent Inst Min & Fuel Res, Environm Management Div, Digwadih Campus,PO FRI, Dhanbad 828108, Jharkhand, India."
"Birla Inst Technol, Dept Remote Sensing, Ranchi 835215, Bihar, India."
"Indian Inst Sci, Ctr Ecol Sci, Bangalore 560012, Karnataka, India."
"Gifu Univ, River Basin Res Ctr, 1-1 Yanagido, Gifu 5011193, Japan."
"TNAU, Forest Coll & Res Inst, Dept Forest Prod & Wildlife, Mettupalayam 641301, India."
"ICAR Cent Arid Zone Res Inst CAZRI, Reg Res Stn RRS, Pali Marwar 306401, Rajasthan, India."
"ATREE, Bangalore 560064, Karnataka, India."
"Natl Bur Plant Genet Resources, ICAR, TCCU, New Delhi 110012, India."
NA
"Mekelle Univ, Coll Nat & Computat Sci, Dept Biol, Mekelle 3033, Tigray, Ethiopia."
"KERALA FOREST RES INST,DIV ENTOMOL,PEECHI 680653,KERALA,INDIA."
"St Johns Coll, Sch Chem Sci, Dept Chem, Agra 282002, Uttar Pradesh, India."
"ITC Life Sci & Technol Ctr, Peenya Ind Area Phase 1, Bangalore 560058, Karnataka, India."
NA
NA
"Rajmata Vijayaraje Scindia Krishi Vishwa Vidyala, Gwalior 474002, India."
"Gurukula Kangri Deemed Univ, Fac Management Studies, Haridwar, Uttarakhand, India."
"Hebrew Univ Jerusalem Hadassah Hosp & Med Sch, Fac Med Dent, Dept Prosthodont, POB 12272, IL-91120 Jerusalem, Israel."
"Dibrugarh Univ, Ctr Studies Biotechnol, Dibrugarh 786004, Assam, India."
"Colorado State Univ, Nat Resource Ecol Lab, Ft Collins, CO 80523 USA."
"Univ Minnesota Twin Cities, Dept Forest Resources, Minneapolis, MN 55455 USA."
"ICAR Indian Agr Res Inst, Div Entomol, New Delhi 110012, India."
NA
"Univ Delhi, CEMDE, Dept Environm Studies, Delhi 110007, India."
"SGSITS, Dept Mech Engn, Indore, Madhya Pradesh, India."
"Jadavpur Univ, Sch Oceanog Studies, Kolkata, W Bengal, India."
"ICAR IIHR, Cent Hort Expt Stn, Bhubaneswar, Odisha, India."
"ICAR Cent Soil Salin Res Inst, Karnal 132001, India."
"Amrita Vishwa Vidyapeetham, Dept Sci, Amrita Sch Arts & Sci, Mysuru Campus, Mysuru 570026, Karnataka, India."
"Govt Arts Coll, Chennai, Tamil Nadu, India."
"Univ Delhi, Dept Environm Studies, Delhi 110007, India."
"Salim Ali Ctr Ornithol & Nat Hist, Coimbatore, Tamil Nadu, India."
"Indian Grassland & Fodder Res Inst, Jhansi 284003, Uttar Pradesh, India."
"Birbal Sahni Inst Paleobot, Quaternary Palynol Lab, 53 Univ Rd, Lucknow 226007, Uttar Pradesh, India."
"World Agroforestry Ctr ICRAF, East & Cent Asia Reg, Ctr Mt Ecosyst Studies, Kunming 650201, Peoples R China."
"Indian Inst Remote Sensing, Natl Remote Sensing Agcy, 4 Kalidas Rd,PB 135, Dehra Dun 248001, Uttar Pradesh, India."
"Free Univ Brussels, Mangrove Management Grp, Lab Analyt & Environm Chem, Pleinlaan 2, B-1050 Brussels, Belgium."
NA
"Indian Inst Remote Sensing, Forestry & Ecol Dept, 4 Kalidas Rd, Dehra Dun 248001, Uttar Pradesh, India."
"Natl Inst Technol Hamirpur, Dept Architecture, Hamirpur 177005, HP, India."
"ICAR Directorate Coldwater Fisheries Res, Uttarakhand 263136, Bhimtal, India."
"Ashoka Trust Res Ecol & Environm, Suri Sehgal Ctr Biodivers & Conservat, Bangalore 560064, Karnataka, India."
"Phys Res Lab, Planetary & Geosci Div, Ahmadabad 380009, Gujarat, India."
"Univ Rajasthan, Dept Bot, Jaipur 302004, Rajasthan, India."
"Natl Inst Oceanog, Panaji 403004, Goa, India."
NA
"Nat Conservat Fdn, Ctr Ecol Res & Conservat, 3076-5,4 Cross,Gokulam Pk, Mysore 570002, Karnataka, India."
"Indian Inst Sci, Ctr Ecol Sci, Bangalore 560012, Karnataka, India."
"Nanjing Univ Informat Sci & Technol, Sch Hydrol & Water Resources, Nanjing 210044, Peoples R China."
NA
"CSIR, Natl Inst Oceanog, Panaji 403004, Goa, India."
NA
"UAS, Coll Agr, Dept Agr Extens, GKVK Campus, Bangaluru 560065, Karnataka, India."
"Johns Hopkins Univ, Dept Hlth Behav & Soc, 624 N Broadway, Baltimore, MD 21205 USA."
"Univ Florida, Inst Food & Agr Sci, Sch Forest Resources & Conservat, POB 110410, Gainesville, FL 32611 USA."
NA
"Potsdam Inst Climate Impact Res, D-14412 Potsdam, Germany."
"Univ Malakand, Dept Bot, Lab Plant Ecol, Chakdara 28800, Pakistan."
"London Sch Econ & Polit Sci LSE, London, England."
"Woldia Univ, Fac Hlth Sci, Dept Med Lab Sci, Woldia, Ethiopia."
"Univ Costa Rica, Lab Biol Mol, Estn Expt Fabio Baudrit Moreno, Alajuela, Costa Rica."
"Univ Mysore, Institut Excellence, Biopsychol Lab, Mysuru, India."
"CSIR, Natl Bot Res Inst, Plant Divers Systemat & Herbarium Div, Rana Pratap Marg, Lucknow 226001, Uttar Pradesh, India."
"Mizoram Univ, Dept Forestry, Aizawl, India."
NA
"NE Inst Sci & Technol, Med Aromat & Econ Plants Div, Plant Genom Lab, Jorhat 785006, Assam, India."
"Natl Inst Technol, Calicut 673601, Kerala, India."
"Indian Sch Mines Univ, Dept Environm Sci & Engn, Dhanbad 826004, Jharkhand, India."
NA
"Shahid Beheshti Univ, GC, Fac Life Sci & Biotechnol, Dept Genet, Tehran 1983963113, Iran."
"Indian Inst Remote Sensing, Dehra Dun 248001, Uttar Pradesh, India."
"Sikkim Univ, Dept Zool, Tadong 737102, Gangtok, India."
"CSIR Natl Inst Oceanog CSIR NIO, Biol Oceanog Div BOD, Panaji 403004, Goa, India."
"Indian Inst Trop Meteorol, Ctr Climate Change Res, Pune 411008, Maharashtra, India."
"Ctr Oceans Rivers Atmosphere & Land Sci, Indian Inst Technol Kharagpur, Kharagpur, W Bengal, India."
"Univ Dev Studies, Sch Engn, Elect Engn Dept, Nyankpala Campus, Nyankpala, Ghana."
"Manipal Univ, Udupi 576104, Karnataka, India."
NA
"Int Crops Res Inst Semi Arid Trop, Patancheru, Andhra Pradesh, India."
"Tripura Univ, Dept Zool, Dasaratha Deb Mem Coll, Khowai 799201, Tripura, India."
"Assam Univ, Dept Ecol & Environm Sci, Silchar 788011, Assam, India."
"KERALA FOREST RES INST, PEECHI 680653, KERALA, INDIA."
"NSR Nagar Patamata, 504 Saikrishna Towers, Vijayawada 520008, Andhra Pradesh, India."
"Univ Kalyani, Dept Geog, Kalyani 741235, W Bengal, India."
"ICAR Indian Inst Soil Sci, Berasia Rd, Bhopal 462038, India."
"Indian Inst Technol Hyderabad, Dept Civil Engn, Hyderabad, Telangana, India."
NA
"ICAR Natl Bur Soil Survey & Land Use Planning, Reg Ctr, Bangalore 560024, Karnataka, India."
NA
"Univ New South Wales, Sch Optometry & Vis Sci, Sydney, NSW, Australia."
"GB PLANT INST HIMALAYAN ENVIRONM & DEV,SIKKIM UNIT,SIKKIM 737102,INDIA."
"NE HILL UNIV, SCH LIFE SCI, DEPT BOT, SHILLONG 793022, MEGHALAYA, INDIA."
"Cooch Behar Panchanan Barma Univ, Dept Geog, Cooch Behar 736101, India."
