address,Latitude,Longitude,count,paperID,Latitude,Longitude
"Univ Kansas, Biodivers Inst, Lawrence, KS 66045 USA",38.9543439,-95.2557961,1,A1032,,
"Concordia Univ, Dept Biol, Montreal, PQ H3G 1M8, Canada",45.4948363,-73.5779128,1,A1032,,
"Concordia Univ, Ctr Struct & Funct Genom, Montreal, PQ, Canada",45.4969874,-73.5788077,1,A1032,,
"Quebec Ctr Biodivers Sci, Montreal, PQ, Canada",45.5018869,-73.5673919,1,A1032,,
"NERIST, Dept Forestry, Nirjuli 791109, Arunachal Prade, India",27.1262059,93.7390674,1,A2665,,
NA,,,NA,C0027,,
NA,,,NA,C0273,,
NA,,,2,A2961,,
NA,,,NA,C0135,,
NA,,,NA,C0238,,
NA,,,2,A2840,,
NA,,,NA,B0027,,
NA,,,1,A3200,,
NA,,,NA,C0224,,
NA,,,NA,C0138,,
NA,,,1,A2935,,
NA,,,2,A3294,,
NA,,,1,A3077,,
NA,,,1,A3247,,
NA,,,NA,B0030,,
NA,,,NA,C0141,,
NA,,,NA,A3304,,
NA,,,NA,C0001,,
NA,,,1,A3113,,
NA,,,NA,B0025,,
NA,,,NA,C0087,,
NA,,,NA,B0028,,
NA,,,NA,C0185,,
NA,,,2,A2954,,
NA,,,NA,C0077,,
NA,,,1,A2857,,
NA,,,1,A3127,,
NA,,,1,A3287,,
"Wildlife Inst India, Dept Landscape Level Planning & Management, Post Box 18, Dehra Dun 248001, Uttarakhand, India",30.3345816,78.0537813,3,A2665,,
"Zool Survey India, M Block, Kolkata 700053, W Bengal, India",22.5096075,88.3339513,2,A2665,,
"Konkan Cetacean Res Team Dadar West, Bombay 400028, Maharashtra, India",19.0235976,72.8378125,1,A0784,,
"Konkan Cetacean Res Team, 9-A Balaji Apts,Dutta Raul Marg,Dadar W, Bombay 400028, Maharashtra, India",19.0168046,72.8334361,4,A0784,,
"James Cook Univ, Coll Marine & Environm Sci, Townsville, Qld 4811, Australia",-19.3258585,146.7566603,1,A0784,,
"Natl Ctr Biol Sci, GKVK Campus, Bengaluru 560065, Karnataka, India",13.0800718,77.5785151,1,A0784,,
"Ctr Wildlife Studies, 551,7th Main Rd,2nd Phase, Bengaluru 560097, India",13.0697287,77.5822943,1,A0784,,
"Cornell Univ, Cornell Lab Ornithol, Bioacoust Res Program, Ithaca, NY 14853 USA",42.4467049,-76.4830579,1,A0784,,
NA,,,NA,C0156,,
"Inst Microbial Technol, MTCC Microbial Type Culture Collect & Gene Bank, Chandigarh, India",30.7489159,76.7336736,3,A2665,,
"DSMZ German Collect Microorganisms & Cell Culture, Braunschweig, Germany",52.2688736,10.5267696,2,A2665,,
"Mahatma Gandhi Inst Technol Hyderabad, Dept Comp Sci & Engn, Hyderabad, India",17.385044,78.486671,4,A2665,,
"VNR Vignana Jyothi Inst Engn & Technol, Dept Mech Engn, Hyderabad, India",17.5396743,78.3868837,1,A2665,,
"Univ Vet & Anim Sci, Inst Biochem & Biotechnol, Lahore, Pakistan",31.5203696,74.3587473,2,A1722,,
"Univ Hlth Sci, CRERS, Lahore, Pakistan",31.5203696,74.3587473,1,A1722,,
"Manonmaniam Sundaranar Univ, Sri Paramakalyani Ctr Environm Sci, Tirunelveli, Tamil Nadu, India",8.7636783,77.6486139,1,A1722,,
NA,,,NA,C0231,,
NA,,,NA,B0008,,
NA,,,NA,A3278,,
NA,,,NA,C0155,,
NA,,,NA,C0060,,
NA,,,1,A3013,,
NA,,,NA,C0056,,
NA,,,NA,C0245,,
NA,,,3,A2800,,
NA,,,1,A3301,,
NA,,,NA,B0001,,
NA,,,1,A3050,,
NA,,,2,A2921,,
NA,,,NA,C0128,,
NA,,,NA,C0347,,
NA,,,NA,C0202,,
NA,,,1,A2971,,
NA,,,4,A3177,,
NA,,,NA,C0074,,
NA,,,NA,C0063,,
NA,,,3,A2965,,
NA,,,1,A2933,,
NA,,,1,A2839,,
NA,,,1,A2730,,
NA,,,NA,B0024,,
NA,,,NA,C0279,,
NA,,,1,A2906,,
NA,,,2,A3183,,
NA,,,NA,C0244,,
NA,,,1,A2974,,
"Swiss Fed Inst Technol, Inst Terr Ecosyst, Ecosyst Management, Univ Str 16, CH-8092 Zurich, Switzerland",47.3765269,8.5483293,3,A1692,,
"Swiss Fed Inst Technol, Inst Integrat Biol, Plant Ecol Genet, Univ Str 16, CH-8092 Zurich, Switzerland",47.3765269,8.5483293,1,A1692,,
"Univ Agr & Hort Sci Shimoga, Coll Forestry, Ponnampet 571216, India",12.1514612,75.9430278,1,A1692,,
"Chinese Acad Forestry, Res Inst Resource Insects, Key Lab Cultivating & Utilizat Resource Insects, State Forestry Adm, Kunming 650224, Peoples R China",25.1117899,102.85012,3,A2277,,
NA,,,2,A3185,,
NA,,,1,A3059,,
"OP Jindal Global Univ, Sonipat 131001, Haryana, India",28.9264157,77.0565769,1,A2665,,
"Mira Corp Suites, BSI Grp India, Global Reporting Initiat GRI, Plot 1 & 2,Mathura Rd, New Delhi 110065, India",28.572262,77.2563541,1,A2665,,
NA,,,3,A2814,,
NA,,,NA,B0029,,
NA,,,NA,B0009,,
NA,,,NA,A3245,,
NA,,,NA,C0146,,
NA,,,1,A2875,,
NA,,,NA,C0204,,
NA,,,NA,C0145,,
NA,,,NA,C0057,,
NA,,,NA,C0218,,
NA,,,NA,C0221,,
NA,,,NA,C0043,,
NA,,,1,A2419,,
NA,,,NA,C0386,,
NA,,,NA,B0011,,
NA,,,1,A3204,,
NA,,,NA,C0213,,
NA,,,1,A2777,,
NA,,,NA,B0017,,
NA,,,NA,C0199,,
NA,,,1,A3100,,
NA,,,NA,C0171,,
NA,,,NA,A3345,,
NA,,,NA,C0249,,
NA,,,NA,C0285,,
NA,,,12,A2780,,
NA,,,NA,C0256,,
"Ctr Biotechnol Bordj Cedria, Lab Physiol Mol Plantes, Hammam Lif, Tunisia",36.7230724,10.3441758,2,A2665,,
"Univ Reims, Lab Microbiol Gen & Mol, F-51687 Reims, France",49.258329,4.031696,3,A2665,,
NA,,,NA,C0209,,
